no_obs,varenummer,varenavn,Virkestoff,legemiddelform,Styrke,Dose ,ml/dose/day,kg,Doseper kg min,Dose per kilo max,min kg,max kg,min days,max days,min dose,Max dose,Max dose*2,lmp_enhet_pakning_v,Source
789,511675,Penovet vet,Benzylpenicillin,Injeksjon,300 mg per 1 ml,20 000-60 000 IE pr. kg og døgn,1.5,10,0.15,0.1,40,1300,1,10,6,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
6,511675,Penovet vet,Benzylpenicillin,Injeksjon,300 mg per 1 ml,20 000-60 000 IE pr. kg og døgn,1.5,10,0.15,0.1,40,1300,1,10,6,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
175344,454918,Penovet vet,Benzylpenicillin,Injeksjon,300 mg per 1 ml,20 000-60 000 IE pr. kg og døgn,1.5,10,0.15,0.1,40,1300,1,10,6,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
35,454918,Penovet vet,Benzylpenicillin,Injeksjon,300 mg per 1 ml,20 000-60 000 IE pr. kg og døgn,1.5,10,0.15,0.1,40,1300,1,10,6,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
187224,144907,Penovet vet,Benzylpenicillin,Injeksjon,300 mg per 1 ml,20 000-60 000 IE pr. kg og døgn,1.5,10,0.15,0.1,40,1300,1,10,6,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
51,144907,Penovet vet,Benzylpenicillin,Injeksjon,300 mg per 1 ml,20 000-60 000 IE pr. kg og døgn,1.5,10,0.15,0.1,40,1300,1,10,6,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
856,560289,Primopen,Benzylpenicillin,Injeksjon,300 mg per 1 ml,20 000-60 000 IE pr. kg og døgn,1.5,10,0.15,0.1,40,1300,1,10,6,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
1,560289,Primopen,Benzylpenicillin,Injeksjon,300 mg per 1 ml,20 000-60 000 IE pr. kg og døgn,1.5,10,0.15,0.1,40,1300,1,10,6,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
19334,101096,Resflor vet,Florfenikol | Fluniksin,Injeksjon,300 mg per 1 ml | 16.5 mg per 1 ml,40 mg/kg,2,15,0.13,,40,1300,1,1,5.3,173.3,346.7,ml,https://www.felleskatalogen.no/medisin-vet/resflor-vet-msd-animal-health-563418
1230,298127,Siccalactin vet ,Benzylpenicillin | Dihydrostreptomycin,Intramammarie DCT,170 mg per 8 g | 400 mg per 8 g,,,,1,,1,4,1,1,1,4,,sprøyte,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
8,298127,Siccalactin vet ,Benzylpenicillin | Dihydrostreptomycin,Intramammarie DCT,170 mg per 8 g | 400 mg per 8 g,,,,1,,1,4,1,1,1,4,,sprøyte,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
14756,264994,Siccalactin vet ,Benzylpenicillin | Dihydrostreptomycin,Intramammarie DCT,170 mg per 8 g | 400 mg per 8 g,,,,1,,1,4,1,1,1,4,,sprøyte,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
18,264994,Siccalactin vet ,Benzylpenicillin | Dihydrostreptomycin,Intramammarie DCT,170 mg per 8 g | 400 mg per 8 g,,,,1,,1,4,1,1,1,4,,sprøyte,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
8,22889,STREPTIPENPROKAIN VET,Dihydrostreptomycin  | Benzylpenicillinprokain ,Injeksjon,250 mg per 1 ml | 200 mg per 1 ml,12.5 - 25 mg mg/kg,0.02,1,0.02,0.055,40,1300,1,1,0.8,71.5,143,ml,https://www.interchemie.com/veterinary-medicines/penstrep-400
176,522011,Streptocillin Forte vet,Benzylpenicillinprokainmonohydrat | Dihydrostreptomycin,Intramammarie,500 mg | 1 g,,8,,,,1,4,1,6,8,192,,g,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
4,522011,Streptocillin Forte vet,Benzylpenicillinprokainmonohydrat | Dihydrostreptomycin,Intramammarie,500 mg | 1 g,,8,,,,1,4,1,6,8,192,,g,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
606,444992,Streptocillin Forte vet,Benzylpenicillinprokain | Dihydrostreptomycin,Intramammarie,500 mg | 1 g,,8,,,,1,4,1,6,8,192,,g,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
40,444992,Streptocillin Forte vet,Benzylpenicillinprokain | Dihydrostreptomycin,Intramammarie,500 mg | 1 g,,8,,,,1,4,1,6,8,192,,g,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
15468,11015,Streptocillin Forte vet,Benzylpenicillinprokainmonohydrat | Dihydrostreptomycin,Intramammarie,500 mg | 1 g,,8,,,,1,4,1,6,8,192,,g,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
